Class,Precision,Recall,AP
Ants,0.9999999999861556,0.01149425274128624,0.09090909090783234
Bees,0.9999999999847338,0.022727272210396856,0.09090909090770306
Beetles,0.00019515368351942907,0.13636363326446288,0.0911202200067518
Caterpillars,0.9999999999775855,0.010752688056181693,0.09090909090705322
Earthworms,0.0002318571759258388,0.024999999375000016,2.851602599767092e-05
Earwigs,0.0003523194362475256,0.04109588984800151,0.0001530456073334096
Grasshoppers,0.00014850014849463543,0.0727272714049587,4.784688994375892e-05
Moths,0.9999999999741622,0.021276595291437595,0.09090909090674203
Slugs,0.0005214505806816094,0.21568627028066137,0.0001855501263739897
Snails,0.99999999997648,0.01999999959952961,0.09090909090695273
Wasps,0.0005123700775499655,0.14893616704391135,0.0007953359355831417
Weevils,0.9999999999708981,0.017241379012577916,0.09090909090644528
mAP,,,0.053148755002892706
